nev	style
Morisot, Berthe	Painting, Oil, Portrait, France, 19th Century
Moronobu, Hishikawa	Painting, Japan, 17th Century
Morrell, Stefan	Illustration, Character Design, Concept Art, Game Art, USA
Morris, William	Illustration, Painting, Print, Wallpaper, UK, 19th Century
Morrocco, Alberto	Painting, Oil, Scotland, UK
Morski, Igor	Illustration, Surrealism, Poland
Mortensen, John Kenn	Illustration, Denmark
Mortensen, William	Photography, Portrait, Glamour, B&W, USA
Moscoso, Victor	Comic, Poster, Psychedelic Art, Lithography, Spain, USA
Moss, Olly	Illustration, Concept Art, Poster, USA
Mucha, Alfons (Alphonse)	Illustration, Art Nouveau, Czech Republic, 19th Century
Mullins, Craig	Illustration, Game Art, USA
Mumford, Dan	Illustration, Cover Art, UK
Munari, Bruno	Illustration, Graphic Design, Italy
Munch, Edvard	Painting, Oil, Expressionism, Symbolism, Norway, 19th Century
Murai, Will	Illustration, Blizzard, Hearthstone, MTG, USA
Murakami, Takashi	Illustration, Visual Arts, Superflat, Japan
Murata, Yusuke	Illustration, Manga, Japan
Nagai, Hiroshi	Illustration, Landscape, Japan
Nagai, Kazumasa	Illustration, Graphic Design, Poster, Japan
Nagel, Patrick	Illustration, Painting, Cover Art, Flat Style, Portrait, USA
Naismith, Scott	Painting, Landscape, Oil, Scotland, UK
Nasmith, Ted	Illustration, Concept Art, Tolkien, Canada
Nasmyth, Alexander	Painting, Oil, Landscape, Scotland, UK, 18th Century
Neel, Alice	Painting, Oil, Portrait, Expressionism, USA
Negley, Keith	Illustration, Cover Art, Flat Style, USA
Nelson, Kadir	Illustration, Painting, Portrait, Cover Art, USA
Nelson, R. Kenton	Painting, USA
Nerdrum, Odd	Painting, Oil, Lithography, Portrait, Norway
Newland, Jane	Illustration, Watercolor, Flat Style, UK
Ngai, Victo	Illustration, Children's Book, USA
Nguyen, Dustin	Comic, DC Comics, USA
Nielsen, Kay	Illustration, Disney, Denmark
Nihei, Tsutomu	Illustration, Manga, Sci-Fi, Japan
Nirasawa, Yasushi	Illustration, Character Design, Japan
Nizovtsev, Victor	Painting, Russia
Nolin, Catherine	Painting, Acrylic, Oil, Portrait, Interior, USA
Norem, Earl	Illustration, Comic, Poster, Cover Art, Marvel, USA
North, Marianne	Painting, Landscape, Botanical, UK, 19th Century
Oakley, Thornton	Illustration, Charcoal, Gouache, Watercolor, USA
Ofili, Chris	Painting, Watercolor, Charcoal, UK
Ojala, Eiko	Illustration, Cover Art, Flat Style, Estonia
Olley, Margaret	Painting, Oil, Still Life, Botanical, Australia
Olschinsky, Atelier	Illustration, 3D, Sci-Fi, Austria
Oprisco, Oleg	Photography, Portrait, Ukraine
Otomo, Katsuhiro	Illustration, Manga, Japan
Otomo, Shohei	Illustration, Ink, B&W, Japan
Oum, Siya	Comic, DC Comics, Marvel, USA
O’Keeffe, Georgia	Painting, Oil, USA
P.A. Works	Anime, Japan
Panter, Gary	Illustration, Painting, Comic, Author, Acrylic, Ink, USA
Paolozzi, Eduardo	Illustration, Lithography, Collage, Pop-Art, Scotland, UK
Parel, Gerald	Illustration, Game Art, Germany
Parmigianino	Painting, Oil, Portrait, Mythology, Italy, 16th Century
Parrish, Maxfield	Illustration, Painting, Oil, USA
Paschke, Edward Francis	Painting, Oil, Portrait, Expressionism, Abstract, USA
Peak, Bob	Illustration, Poster, Cover Art, USA
Peeters, Clara	Painting, Oil, Still Life, Belgium
Pei, Guo	Fashion Designer, Fashion, China
Pennington, Bruce	Painting, Fantasy, Sci-Fi, UK
Perceval, John	Painting, Australia
Peterson, Cleon	Painting, Acrylic, Print, B&W, USA
Petolas, Nikolina	Illustration, Painting, Photography, Concept Art, Croatia
Phillips, Coles	Illustration, Watercolor, USA
Phillips, Sean	Illustration, Comic, DC Comics, Marvel, UK
Picabia, Francis-Marie Martinez	Painting, Oil, Watercolor, Portrait, Dada, Surrealism, Cubism, France
Picolo, Gabriel	Illustration, Comic, DC Comics, Blizzard, Brazil
Pieck, Anton Franciscus	Illustration, Painting, Watercolor, Ink, Gouache, Netherlands
Pinkney, Jerry	Illustration, Watercolor, Children's Book, USA
Pirner, Maximilian	Illustration, Painting, Oil, Czech Republic
Pollock, Jackson	Painting, Expressionism, USA
Pontormo, Jacopo da	Painting, Oil, Portrait, Mythology, Italy, 16th Century
Pope, Paul	Comic, DC Comics, USA
Porter, Fairfield	Painting, Oil, Portrait, USA
Portinari, Candido	Painting, Oil, Portrait, Brazil
Prades, Simón	Illustration, Ink, Germany
Pranckevicius, Gediminas	Illustration, Animation, Concept Art, Lithuania
Pratt, Hugo	Illustration, Watercolor, Ink, Comic, Graphic Novel, Italy
Prins, Theo	Concept Art, USA
Procter, Dod	Painting, Oil, Portrait, UK
Procter, Ernest	Painting, Oil, Portrait, UK
Provensen, Alice	Illustration, Children's Book, USA
Purcell, Steve	Comic, Animation, Character Design, Game Art, USA
Putz, Leo	Painting, Oil, Portrait, Italy
Q Hayashida (Hayashida Kyū)	Illustration, Manga, Horror, Japan
Quitely, Frank	Illustration, Comic, DC Comics, Marvel, Cover Art, Scotland, UK
Rackham, Arthur	Illustration, Watercolor, Ink, Children's Book, Art Nouveau, UK, 19th Century
Raleigh, Henry Patrick	Illustration, Watercolor, Charcoal, USA
Ramos, Humberto	Illustration, Comic, DC Comics, Marvel, Cover Art, Mexico
Rand, Paul	Illustration, Graphic Design, Logo, USA
Raphael (Raffaello Sanzio da Urbino)	Painting, Oil, Portrait, Mythology, Italy, 15th Century
Ravi Zupa	Illustration, Painting, Print, USA
Rebelka, Jakub	Illustration, Concept Art, Poland
Redon, Odilon	Painting, Symbolism, France, 19th Century
Redpath, Anne	Painting, Oil, Still Life, Landscape, Scotland, UK
Reiniger, Lotte	Movie Director, Animation, Silhouette, B&W, Germany
Rembrandt (van Rijn)	Painting, Oil, Portrait, Baroque, Netherlands, 17th Century
Remnev, Andrey	Painting, Oil, Portrait, Russia
Renoir, Pierre-Auguste	Painting, Oil, Portrait, Impressionism, France, 19th Century
Repin, Ilya/Ilja	Painting, Oil, Portrait, Ukraine, 19th Century
Retz, Zac	Illustration, Animation, Concept Art, Character Design, USA
Rhads (Artem Chebokha)	Illustration, Landscape, Russia
Rhead, Louis	Illustration, Poster, Art Nouveau, B&W, UK, USA
Rhodes, Matt	Illustration, Concept Art, Game Art, USA
Rigaud, Hyacinthe	Painting, Oil, Portrait, Baroque, France, 17th Century
Rikalo, Jovana	Photography, Portrait, Serbia
Riley, Bridget	Illustration, Painting, Op-Art, Geometry, Pattern, UK
Ringgold, Faith	Painting, Oil, Acrylic, USA
Riopelle, Jean-Paul	Painting, Oil, Expressionism, Abstract, USA
Rivera, Diego	Painting, Portrait, Muralismo, Realism, Mexico
Robbins, Trina	Illustration, Comic, DC Comics, Marvel, B&W, USA
Robida, Albert	Illustration, Painting, Lithography, France, 19th Century
Robinson, William Heath	Illustration, Ink, Watercolor, Cartoon, USA
Rocha, Andreas	Concept Art, Fantasy, Sci-Fi, Portugal
Rockwell, Norman	Illustration, Painting, Cover Art, USA
Roerich, Nicholas	Painting, Tempera, Landscape, Symbolism, Russia, 19th Century
Rolando, Cyril	Illustration, France
Roset, Conrad	Illustration, Painting, Ink, Watercolor, Spain
Ross, Alex	Painting, Gouache, Comic, DC Comics, Marvel, Poster, USA
Rossier, Jessica	Concept Art, Landscape, France
Rothko, Mark	Painting, Oil, Abstract, Expressionism, Russia, USA
Rousseau, Henri	Painting, Oil, Landscape, Botanical, Naive Art, France, 19th Century
Roversi, Paolo	Photography, Fashion, Italy
Ruas, João	Illustration, Horror, Brazil
Rubens, Peter Paul	Painting, Oil, Portrait, Mythology, Flemish, 17th Century
Rutkowski, Grzegorz (Greg)	Illustration, Concept Art, Fantasy, Poland
Ruysch, Rachel	Painting, Oil, Still Life, Botanical, Netherlands, 17th Century
Ryden, Mark	Painting, USA
Ryder, Albert Pinkham	Painting, Oil, Landscape, USA, 19th Century
Ryohei Hase	Illustration, Cover Art, Horror, Japan
Rysselberghe, Théo van	Painting, Oil, Pointillism, Belgium
Saftleven, Cornelis	Painting, Oil, Landscape, Portrait, Netherlands, 17th Century
Sage, Amanda	Painting, Oil, Psychedelic Art, USA
Saintclair, Apollonia	Illustration, Ink, Nudity, B&W, France
Salminen, John	Illustration, Watercolor, Landscape, USA
Samorì, Nicola	Painting, Oil, Sculpture, Italy
Sandoval, Tony	Illustration, Watercolor, USA
Sargent, John Singer	Painting, Oil, Watercolor, Portrait, USA, 19th Century
Sarnoff, Arthur	Illustration, Painting, Oil, Portrait, Cover Art, USA
Sarrailh, Sylvain	Illustration, Concept Art, Game Art, France
Sarto, Andrea del	Painting, Oil, Portrait, Mythology, Italy, 16th Century
Saryan, Martiros	Painting, Oil, Tempera, Landscape, Russia, Armenia
Savrasov, Alexei	Painting, Oil, Landscape, Russia, 19th Century
Scarry, Richard	Illustration, Watercolor, Children's Book, USA
Schalcken, Godfried	Painting, Oil, Portrait, Netherlands, 17th Century
Schaller, Thomas W.	Painting, Watercolor, Architecture, Cityscape, USA
Scher, Paula	Illustration, Graphic Design, Painting, USA
Schiele, Egon	Illustration, Painting, Oil, Portrait, Expressionism, Austria
Schjerfbeck, Helene	Painting, Oil, Portrait, Realism, Finland, 19th Century
Schoeller, Martin	Photography, Portrait, Germany
Schoenherr, John Carl	Illustration, Children's Book, Sci-Fi, Dune, USA
Schomburg, Alex	Illustration, Comic, Marvel, Cover Art, Puerto Rico, USA
Schongauer, Martin	Painting, Illustration, Engraving, Mythology, Germany, 15th Century
Schrieck, Otto Marseus van	Painting, Oil, Still Life, Botanical, Netherlands, 17th Century
Schuiten, François	Comic, Graphic Novel, Belgium
Schwabe, Carlos	Illustration, Painting, Art Nouveau, Germany, 19th Century
Schwitters, Kurt	Painting, Oil, Watercolor, Collage, Dada, Surrealism, Germany, UK
Seddon-Boulet, Susan	Painting, Ink, Brazil
Seignac, Guillaume	Painting, Oil, Portrait, France
Semenov, Anton	Illustration, Horror, Russia
Seurat, Georges	Painting, Oil, Pointillism, France
Severin, Marie	Comic, DC Comics, Marvel, USA
Seveso, Alberto	Illustration, Photography, Portrait, UK
Shaden, Brooke	Photography, Portrait, USA
Shaw, Barclay	Painting, Acrylic, Fantasy, Sci-Fi, Cover Art, USA
Shepard, Ernest Howard	Illustrator, Painting, Winnie-the-Pooh, UK
Sheppard, Cynthia	Illustration, MTG, USA
Shields, Tyler	Photography, Portrait, USA
Shimizu, Yuko	Illustration, USA
Shinkai, Makoto	Anime, Japan
Shinkawa, Yōji	Illustration, Concept Art, Japan
Shinn, Everett	Illustration, Painting, Oil, Watercolor, USA
Shirow, Masamune	Illustration, Manga, Sci-Fi, Japan
Shiu, Emmanuel	Concept Art, Sci-Fi, USA
Siemiradzki, Henryk	Painting, Oil, Portrait, Mythology, Ukraine, Poland, 19th Century
Sienkiewicz, Bill	Illustration, Comic, DC Comics, Marvel, USA
Signac, Paul	Painting, Oil, Pointillism, France
Silvestri, Marc	Comic, DC Comics, Marvel, USA
Simkins, Greg	Painting, Acrylic, Graffiti, USA
Simonetti, Marc	Illustration, Concept Art, Game Art, France
Siqueiros, David Alfaro	Painting, Portrait, Muralismo, Realism, Mexico
Sloan, Kevin	Painting, Oil, USA
Smith, Grace Cossington	Painting, Oil, Australia
Soutine, Chaim	Painting, Oil, Portrait, Expressionism, Belarus, France
Spare, Austin Osman	Illustration, Painting, Chalk, Pastel, Art Nouveau, Symbolism, Occultism, UK
Sparth	Illustration, Concept Art, Game Art, Sci-Fi, USA
Sperry, Chuck	Illustration, Screen Print, Portrait, USA
Spratt, Sam	Illustration, Painting, USA
Steadman, Ralph	Author, Illustration, Comic, Cartoon, UK
Stelfreeze, Brian	Comic, DC Comics, Marvel, USA
Stieglitz, Alfred	Photography, Portrait, B&W, USA, 19th Century
Stokoe, James	Comic, DC Comics, Marvel, Canada
Streeton, Arthur Ernest	Painting, Oil, Watercolor, Landscape, Australia, 19th Century
Struzan, Drew	Illustration, Poster, USA
Strzalkowski, Tomasz	3D, Character Design, Game Art, Poland
Stålenhag, Simon	Concept Art, Sci-Fi, Sweden
Sugimori, Ken	Illustration, Game Art, Pokemon, Japan
Sutherland, Graham	Painting, Oil, Gouache, Expressionism, UK
Suydam, Arthur	Illustration, Comic, Marvel, USA
Swanland, Raymond	Illustration, Concept Art, Sci-Fi, Fantasy, Game Art, MTG, USA
Sève, Peter de	Illustration, Animation, Cover Art, USA
Takahashi, Hiroyuki-Mitsume	Illustration, Comic, Japan
Takahashi, Kazuya	Illustration, Game Art, Japan
Takahashi, Rumiko	Illustration, Manga, Japan
Tamayo, Rufino	Painting, Oil, Cubism, Surrealism, Abstract, Mexico
Tan, Shaun	Illustration, Painting, Ink, Oil, Australia
Tanner, Henry Ossawa	Painting, Oil, Portrait, USA, 19th Century
Tartakovsky, Genndy	Illustration, Animation, Character Design, TV, Russia, USA
Templesmith, Ben	Illustration, Comic, Australia
Teng, Sachin	Illustration, Comic, Poster, Cover Art, USA
Tenggren, Gustaf	Illustration, Disney, USA
Tepper, Saul	Illustration, Painting, Oil, Portrait, USA
Terada, Katsuya	Illustration, Japan
Terpning, Howard	Illustration, Painting, Oil, Portrait, Landscape, Realism, USA
Tezuka, Osamu	Illustration, Manga, Japan
Thayer, Abbott Handerson	Painting, Oil, Portrait, USA, 19th Century
Thole, Karel	Illustration, Painting, Netherlands
Thomas, Mickalene	Painting, Acrylic, Photography, Collage, USA
Thompson, Craig	Comic, Graphic Novel, Ink, B&W, USA
Thomson, Tom	Painting, Oil, Landscape, Canada, 19th Century
Tiepolo, Giovanni	Painting, Oil, 18th Century
Timmermans, Alex	Photography, Netherlands
Titian (Tiziano Vecelli)	Painting, Oil, Portrait, Mythology, Italy, 16th Century
Tomine, Adrian	Illustration, Comic, Cover Art, USA
Toor, Ori	Illustration, Israel
Toriyama, Akira	Illustration, Manga, Anime, DragonBall, Japan
Toth, Alex	Comic, DC Comics, B&W, USA
Toulouse-Lautrec, Henri de	Illustration, Painting, France, 19th Century
Tran, Ross (RossDraws)	Illustration, Character Design, Concept Art, Portrait, USA
Turner, William	Painting, Oil, Watercolor, Landscape, Romanticism, UK, 19th Century
Turnham, Chris	Illustration, USA
Tutwiler, David	Painting, Oil, Watercolor, Landscape, USA
Uesugi, Tadahiro	Illustration, Japan
Uglow, Euan	Painting, Oil, Still Life, Portrait, UK
Uhlig, Daniela	Illustration, Character Design, Game Art, Germany
Ural, Halil	Illustration, Concept Art, Game Art, Turkey
Urschel, Jan	Illustration, Concept Art, Sci-Fi, Game Art, Germany
Vallejo, Boris	Illustration, Painting, Cover Art, Poster, Pin-Ups, Fantasy, Peru, USA
Van Gogh, Vincent Willem	Painting, Oil, Pointillism, Netherlands, 19th Century
Vargas, Alberto	Illustration, Pin-Ups, USA
Vasarely, Victor	Illustration, Painting, Op-Art, Geometry, Pattern, Hungary, France
Vaughan, Brian K.	Comic, Graphic Novel, DC Comics, Marvel, USA
Velázquez, Diego	Painting, Oil, Portrait, Baroque, Spain, 17th Century
Vereshchagin, Vasily	Painting, Oil, Realism, Orientalism, Russia, 19th Century
Verrocchio, Andrea del	Painting, Oil, Italy, 15th Century
Vesalius, Andreas	Author, Illustration, Anatomy, Engraving, Woodcut, Belgium, 16th Century
Vess, Charles	Comic, Fantasy, USA
Vigée-Lebrun, Élisabeth	Painting, Oil, Portrait, Rococo, France, 18th Century
Wain, Louis	Illustration, Painting, Ink, Watercolor, Gouache, Cat, UK, 19th Century
Walala, Camille	Illustration, Painting, Visual Arts, Pattern, France
Walde, Alfons	Painting, Oil, Landscape, Austria
Wallis, Alfred	Painting, Landscape, UK
Ward, Lynd	Author, Illustration, Children's Book, Graphic Novel, Woodcut, Engraving, USA
Warhol, Andy	Painting, Pop-Art, USA
Waterhouse, John William	Painting, Oil, Portrait, UK, 19th Century
Watteau, Jean-Antoine	Painting, Oil, Portrait, Rococo, France, 18th Century
Webb, Joe	Collage, Print, UK
Weeks, Edwin Lord	Illustration, Painting, Orientalism, USA
Weissenbruch, Johan Hendrik	Painting, Oil, Watercolor, Landscape, Netherlands, 19th Century
Weldon, Casey	Painting, Acrylic, Surrealism, USA
Whalen, Tom (Strongstuff)	Illustration, USA
Whelan, Michael	Illustration, Fantasy, Sci-Fi, USA
Whitcomb, Jon	Illustration, Painting, Oil, Gouache, Poster, USA
Whitmore, Coby	Illustration, Painting, Cover Art, USA
Wileman, Peter	Painting, Oil, Landscape, Abstract, UK
Wiley, Kehinde	Painting, Oil, Portrait, USA
Wilkins, Edward Blair	Illustration, Painting, Sci-Fi, Cover Art
Williamson, Al	Comic, USA
Willink, Carel	Painting, Oil, Portrait, Cityscape, Architecture, Realism, Netherlands
Windsor-Smith, Barry	Comic, DC Comics, Marvel, B&W, UK
Winterhalter, Franz Xaver	Painting, Oil, Portrait, Germany, 19th Century
Wirth, Nathan	Photography, Landscape, B&W, USA
Wlop	Illustration, China
Woelfel, Brandon	Photography, Portrait, USA
Wong, Liam	Photography, Game Art, Scotland, UK
Wood, Ashley	Illustration, Comic, Painting, Ink, Australia
Wood, Grant	Painting, Oil, Tempera, Portrait, USA
Wou-Ki, Zao	Painting, Ink, Aquatint, China
Wrightson, Bernie	Comic, DC Comics, Marvel, B&W, USA
Wyeth, Andrew	Painting, Oil, Watercolor, Gouache, Portrait, Landscape, Realism, USA
Xu, Zhelong	Illustration, 3D, China
Yata, Hannah	Painting, Oil, Psychedelic Art, Surrealism, USA
Ye, Liu	Painting, China
Yeager, Bunny	Photography, Portrait, Pin-Ups, Nudity, USA
Yerka, Jacek	Illustration, Painting, Surrealism, Poland
Yokoo, Tadanori	Illustration, Graphic Design, Poster, Japan
Yoro, Sean (HULA)	Painting, Street Art, Portrait, USA
Yoshida, Akihiko	Illustration, Character Design, Game Art, Japan
Yoshida, Hiroshi	Painting, Landscape, Japan
Young, Skottie	Illustration, Comic, Children's Book, Marvel, USA
Zabrocki, Darek	Illustration, Concept Art, Fantasy, Sci-Fi, Poland
Zadkine, Ossip	Painting, Oil, Cubism, Belarus
Zana, Eytan	Illustration, Concept Art, Game Art, USA
Zener, Eric	Painting, Oil, Portrait, Realism, USA
Zhong, Fenghua	Illustration, China
Zorach, William	Painting, Oil, Watercolor, Portrait, Sculpture, Cubism, Lithuania, USA
Zorn, Anders	Painting, Watercolor, Portrait, Sweden, 19th Century
Zuloaga, Ignacio	Painting, Oil, Portrait, Spain